varlist,corr
blue_top_player,0
blue_top_champion,0
blue_jng_player,0
blue_jng_champion,0
blue_mid_player,0
blue_mid_champion,0
blue_bot_player,0
blue_bot_champion,0
blue_sup_player,0
blue_sup_champion,0
red_top_player,0
red_top_champion,0
red_jng_player,0
red_jng_champion,0
red_mid_player,0
red_mid_champion,0
red_bot_player,0
red_bot_champion,0
red_sup_player,0
red_sup_champion,0
top_counter_winrate,0
mid_counter_winrate,0
jng_counter_winrate,0
bot_counter_winrate,0
sup_counter_winrate,0
weight,0
result,0